id,text,category,pro,contra,type,politikbereich,question,offene_aussenpolitik,liberale_wirtschaftspolitik,restriktive_finanzpolitik,law_and_order,restriktive_migrationspolitik,ausgebauter_umweltschutz,ausgebauter_sozialstaat,liberale_gesellschaft,subcategory,question_number_in_subcategory
5156,Befürworten Sie eine Erhöhung des Rentenalters (z.B. auf 67 Jahre) für Frauen und Männer?,Welfare state & family ,<p><br></p>,<p><br></p>,StandardQuestion,Sozialstaat & Familie,Befürworten Sie eine Erhöhung des Rentenalters (z. B. auf 67 Jahre) für Frauen Jund Männer?,,,,,,,-1,,Sozialstaat & Familie,1
5158,Sollen im Kanton Bern Ergänzungsleistungen für Familien mit tiefem Einkommen eingeführt werden? ,Welfare state & family ,<p><br></p>,<p><br></p>,StandardQuestion,Sozialstaat & Familie,Sollen im Kanton Bern Ergänzungsleistungen für Familien mit tiefem Einkommen eingeführt werden?,,,-1,,,,1,,Sozialstaat & Familie,2
5160,"Befürworten Sie eine Verschärfung des Sozialhilfegesetzes (z.B. Begrenzung der Zulagen, tieferes Existenzminimum, strengere Sanktionen)?",Welfare state & family ,<p><br></p>,<p><br></p>,StandardQuestion,Sozialstaat & Familie,"Befürworten Sie eine Verschärfung des Sozialhilfegesetzes (z.B. Begrenzung der Zulagen, tieferes Existenzminimum, strengere Sanktionen)?",,,,,,,-1,,Sozialstaat & Familie,3
5162,"Eine kantonale Initiative verlangt eine Elternzeit von 24 Wochen (6 Wochen pro Elternteil, 12 Wochen aufteilbar). Unterstützen Sie diese Forderung?",Welfare state & family ,<p><br></p>,<p><br></p>,StandardQuestion,Sozialstaat & Familie,"Eine kantonale Initiative verlangt eine Elternzeit von 24 Wochen (6 Wochen pro Elternteil, 12 Wochen aufteilbar). Unterstützen Sie diese Forderung?",,,-1,,,,,1,Sozialstaat & Familie,4
5164, Soll der Kanton auf eine Privatisierung von Spitälern verzichten (z.B. Verkauf von Aktien an Private)?,Healthcare,<p><br></p>,<p><br></p>,StandardQuestion,Gesundheitswesen,Soll der Kanton auf eine Privatisierung von Spitälern verzichten (z. B. Verkauf von Aktien an Private)?,,-1,,,,,,,Gesundheitswesen,1
5166,Soll der Kanton Hausarztpraxen finanziell unterstützen (z.B. durch steuerliche Vorteile oder Anschubfinanzierungen bei der Übernahme von Praxen)?,Healthcare,<p><br></p>,<p><br></p>,StandardQuestion,Gesundheitswesen,Soll der Kanton Hausarztpraxen finanziell unterstützen (z. B. durch steuerliche Vorteile oder Anschubfinanzierungen bei der Übernahme von Praxen)?,,,,,,,,,Gesundheitswesen,2
5168,Soll der Kanton Bern mehr Geld für die Verbilligung der Krankenkassenprämien bereitstellen?,Healthcare,<p><br></p>,<p><br></p>,StandardQuestion,Gesundheitswesen,Soll der Kanton Bern mehr Geld für die Verbilligung der Krankenkassenprämien bereitstellen?,,,-1,,,,1,,Gesundheitswesen,3
5170,Unterstützen Sie die Einführung einer generellen Impfpflicht gegen das Corona-Virus (Covid-19)?,Healthcare,<p><br></p>,<p><br></p>,StandardQuestion,Gesundheitswesen,Unterstützen Sie die Einführung einer generellen Impfpflicht gegen das Corona-Virus (Covid-19?),,,,,,,,,Gesundheitswesen,4
5172,"Finden Sie es richtig, wenn Schulen Dispense aus religiösen Gründen für einzelne Fächer oder Veranstaltungen bewilligen (z.B. Sport- oder Sexualkundeunterricht)?",Education,"<ul><li>Wenn einzelne Fächer nicht mit den religiösen Überzeugungen gläubiger Familien vereinbar sind, dürfen deren Kinder auf keinen Fall zum Unterricht gezwungen werden. Die Religionsfreiheit als grundlegendes Menschenrecht ist unbedingt zu respektieren.</li><li>Solch gravierende Einschränkungen der Glaubens- und Gewissensfreiheit kammen einem Assimilierungszwang gleich. Dies kann Minderheiten an den Rand der Gesellschaft und in Subkulturen drängen und ist der Integration auf keinen Fall förderlich.</li></ul>","<ul><li>Integration beinhaltet die vollständige Anerkennung der Schweizer Rechtsordnung. Somit hat jedes Schulkind, egal welcher Religion, den Schulunterricht im Rahmen der obligatorischen Schulfächer vollständig zu absolvieren. An öffentlichen Schulen gelten für alle die gleichen Rechte und Pflichten.</li><li>​​​​​Die obligatorische Schule ist ein wichtiger Ort der Integration und der Sozialisierung. Integrationsbemühungen müssen vor die Glaubens- und Gewissensfreiheit gestellt werden. Im schlimmsten Fall kommt es aufgrund solcher Dispense gar zu einer Marginalisierung des Kindes innerhalb der Klasse.</li></ul>",StandardQuestion,Bildung & Schule,"Finden Sie es richtig, wenn Schulen Dispense aus religiösen Gründen für einzelne Fächer oder Veranstaltungen bewilligen (z.B. Sport- oder Sexualkundeunterricht)?",,,,,,,,-1,Bildung & Schule,1
5174,Gemäss dem Konzept der integrativen Schule werden Kinder mit Lernschwierigkeiten oder Behinderungen grundsätzlich in regulären Schulklassen unterrichtet. Befürworten Sie dies? [BePart-Bürger/-innenfrage],Education,"<ul><li>Studien zeigen, dass lernschwache und geistig behinderte Schüler mehr leisten, wenn sie in einer Regelklasse sind, als wenn sie in Sonderklassen unterrichtet werden. Ausserdem hat sich die Befürchtung, diese Kinder würden die Lernfortschritte der anderen Mitschüler hemmen, nicht bewahrheitet.</li><li>In einer integrativen Schule müssen lernschwache und behinderte Kinder nicht im Schonraum der Heilpädagogik lernen, sondern können sich an der Realität orientieren. Zusätzlich zu den Erwachsenen beeinflussen so auch die Mitschüler/innen die Entwicklung der lernschwachen und behinderten Kinder positiv.</li><li>Dank sozialer Kontaktmöglichkeiten in der Schule entfaltet sich die Integration auch ausserhalb der Schule.</li><li>Der integrative Ansatz funktioniert mindestens so gut wie das Modell der Sonderklassen. Deshalb gibt es keinen Grund, den grossen pädagogischen Aufwand für einen getrennten Unterricht zu betreiben.</li></ul>","<ul><li>Der Integrationsansatz ist grundsätzlich unbestritten, der schulische Unterricht ist aber nicht der richtige Ort dafür. Es ist zu befürchten, dass die integrative Schule den normalen Lernfortschritt der Kinder bremst, weil sich die Lehrpersonen jeweils an den langsameren Kindern orientieren. Die integrative Schule kann am Ende zu einem allgemeinen Absinken des Leistungsniveaus an Schulen führen.</li><li>Zudem können sich auch allfällige Konflikte zwischen Lehrpersonen und Heilpädagogen negativ auf die Kinder auswirken: Bei der integrativen Schule sind zu viele Therapeuten und Fachpersonen im Klassenzimmer, was dem Lernerfolg der Kinder nicht förderlich ist.</li><li>Die Regelklassen sind schon heute oft sehr heterogen zusammengesetzt. Mit der zusätzlichen Aufgabe ist zu befürchten, dass es zu einer Überforderung der Schule und der Lehrpersonen, welche bereits stark belastet sind, kommt.</li><li>Die automatische Integration in den Schulklassen ist eine Illusion. Vielmehr ist zu befürchten, dass in diesem Umfeld Kinder mit Behinderung sogar eher gehänselt und ausgeschlossen werden.</li></ul>",StandardQuestion,Bildung & Schule,Gemäss dem Konzept der integrativen Schule werden Kinder mit Lernschwierigkeiten oder Behinderungen grundsätzlich in regulären Schulklassen unterrichtet. Befürworten Sie dies?,,,,,,,,1,Bildung & Schule,2
